year,country_slug,source_pdf,words,testament,unwavering,steadfast,resonate,navigate,foster,harness,beacon,embark,landscape,transformative,crossroads,profound,robust,seamless,bolster,delve,intricate,underscore,showcase,nuanced,multifaceted,tapestry,realm,meticulous,delineate,paramount,myriad,pivotal,sovereignty,cooperation,development,security,peace,dialogue,support,people
2015,south-africa,https://gadebate.un.org/sites/default/files/gastatements/70/70_za_en_25.pdf,2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,12,6,0,7,8
2015,south-sudan,https://gadebate.un.org/sites/default/files/gastatements/70/70_ss_en_24.pdf,1172,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,4,9,0,2,7
2015,sri-lanka,https://gadebate.un.org/sites/default/files/gastatements/70/70_lk_en_25.pdf,1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,5,3,0,3
2015,thailand,https://gadebate.un.org/sites/default/files/gastatements/70/70_th_en_25.pdf,1997,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,26,9,8,0,3,11
2015,tonga,https://gadebate.un.org/sites/default/files/gastatements/70/70_tg_en_25.pdf,1641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,4,1,2,10,5
2015,turkiye,https://gadebate.un.org/sites/default/files/gastatements/70/70_tr_en_25.pdf,2484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,9,8,1,5,6
2015,tuvalu,https://gadebate.un.org/sites/default/files/gastatements/70/70_tv_en_24.pdf,2065,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,6,5,2,3,7
2015,uganda,https://gadebate.un.org/sites/default/files/gastatements/70/70_ug_en_1_24.pdf,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,2,2
2015,ukraine,https://gadebate.un.org/sites/default/files/gastatements/70/70_ua_en_25.pdf,3085,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,17,11,0,4,7
2015,united-kingdom-great-britain-and-northern-ireland,https://gadebate.un.org/sites/default/files/gastatements/70/70_gb_en_25.pdf,1690,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,14,6,0,4,8
2015,vanuatu,https://gadebate.un.org/sites/default/files/gastatements/70/70_vu_en_2_24.pdf,1521,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,7,9,0,2,3
2015,viet-nam,https://gadebate.un.org/sites/default/files/gastatements/70/70_vn_en_24.pdf,1521,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,9,13,0,4,11
2015,zambia,https://gadebate.un.org/sites/default/files/gastatements/70/70_zm_en_25.pdf,2095,0,0,0,0,0,3,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,9,9,0,8,4
2016,afghanistan,https://gadebate.un.org/sites/default/files/gastatements/71/71_af_en_24.pdf,2952,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,13,18,1,14,6
2016,albania,https://gadebate.un.org/sites/default/files/gastatements/71/71_al_en_24.pdf,2558,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,12,13,1,13,4
2016,angola,https://gadebate.un.org/sites/default/files/gastatements/71/71_ao_en_24.pdf,1502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,12,14,4,6,3
2016,armenia,https://gadebate.un.org/sites/default/files/gastatements/71/71_am_en_24.pdf,1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,6,0,4,11
2016,australia,https://gadebate.un.org/sites/default/files/gastatements/71/71_au_en_24.pdf,2202,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,6,8,0,11,9
2016,azerbaijan,https://gadebate.un.org/sites/default/files/gastatements/71/71_az_en_24.pdf,1502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,3,6,0,2,2
2016,bahamas,https://gadebate.un.org/sites/default/files/gastatements/71/71_bs_en_24.pdf,2107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,4,11
